"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Observed.cd         ",2,377580.054924242,188790.027462121,5.5941590696292,0.00808922132826512
"Observed.group      ",3,269188.260416666,89729.4201388885,2.65883032186775,0.0643665549263099
"Observed.cd:group   ",5,190790.59375,38158.11875,1.13068782792635,0.363649795213656
"Observed.Residuals  ",33,1113674.25,33747.7045454545,NA,NA
"Shannon.cd         ",2,0.0330404225198902,0.0165202112599451,6.37636045264708,0.00455617838575622
"Shannon.group      ",3,0.0408352464514498,0.0136117488171499,5.25377160638858,0.00448632408839045
"Shannon.cd:group   ",5,0.0441248594992347,0.00882497189984694,3.40620352442713,0.0136742135753416
"Shannon.Residuals  ",33,0.0854981420242433,0.00259085278861343,NA,NA
"Chao1.cd         ",2,393624.775782382,196812.387891191,5.73806571179881,0.00726748974578333
"Chao1.group      ",3,274445.056986768,91481.6856622561,2.66714879780006,0.0637854661044122
"Chao1.cd:group   ",5,180085.397780261,36017.0795560522,1.05007805379594,0.405316357834691
"Chao1.Residuals  ",33,1131881.21688018,34299.430814551,NA,NA
"Simpson.cd         ",2,1.96515311715447e-07,9.82576558577235e-08,7.5161170869897,0.00204262671451211
"Simpson.group      ",3,4.72182100381597e-07,1.57394033460532e-07,12.0396927237497,1.74981304561327e-05
"Simpson.cd:group   ",5,1.56400459232382e-07,3.12800918464764e-08,2.39273805951913,0.0587176152671102
"Simpson.Residuals  ",33,4.31406616711387e-07,1.3072927779133e-08,NA,NA
"Fisher.cd         ",2,20007.1115174921,10003.5557587461,7.94698211852828,0.00152324013535438
"Fisher.group      ",3,14746.5184030623,4915.5061343541,3.90495542738142,0.017163027571445
"Fisher.cd:group   ",5,12909.7744068757,2581.95488137513,2.05114558942659,0.0969450184088374
"Fisher.Residuals  ",33,41539.9626065542,1258.78674565316,NA,NA
"ACE.cd         ",2,394091.667905953,197045.833952976,5.72541710884579,0.00733603502348414
"ACE.group      ",3,268698.920802502,89566.3069341675,2.60246286769703,0.0684513848190407
"ACE.cd:group   ",5,174859.834547086,34971.9669094173,1.0161549404843,0.42395422346189
"ACE.Residuals  ",33,1135727.30105582,34415.9788198732,NA,NA
